Date,cazhi,f,pl,t,p
2021/1/1 0:02,30.1504,28.462,6318.5698,229.8,0.89899999
2021/1/1 1:06,28.04,28.59,6792.8198,230.60001,0.838
2021/1/1 2:06,28.17,28.681,6394.0698,229.5,0.89499998
2021/1/1 3:06,28.1899,28.27,6457.2002,228.8,0.87
2021/1/1 4:06,28.48,28.087,6296.8799,230.39999,0.89099997
2021/1/1 5:06,28.4199,28.311001,6451.1299,231.60001,0.87900001
2021/1/1 6:06,28.2798,28.568001,6601.4702,230.10001,0.86199999
2021/1/1 7:06,26.0801,28.209,6599.52,229.89999,0.85000002
2021/1/1 8:06,20.54,20.358999,4572.5801,225.8,0.87900001
2021/1/1 9:06,25.9102,21.362,4863.73,223.7,0.86199999
2021/1/1 10:06,25.3398,28.046,6483.8799,225.10001,0.85100001
2021/1/1 11:06,28.4199,28.694,6435.5098,225.60001,0.88
2021/1/1 12:06,28.2803,28.426001,6559.3799,225.7,0.85399997
2021/1/1 13:06,26.48,28.378,6406.4399,225.7,0.87400001
2021/1/1 14:06,28.1001,29.051001,6499.29,225.2,0.88099998
2021/1/1 15:06,28.1596,28.375999,6244.8101,226.2,0.89999998
2021/1/1 16:06,28.0401,27.886999,6402.75,227.8,0.86299998
2021/1/1 17:06,28.1601,27.819,6362.3901,227.2,0.86500001
2021/1/1 18:06,27.96,28.205,6381.7002,228.2,0.87800002
2021/1/1 19:06,28.1099,28.038,6457.2002,227.7,0.86000001
2021/1/1 20:06,28.3203,27.952,6544.4102,227.5,0.84399998
2021/1/1 21:06,28.1596,28.179001,6600.1699,228.39999,0.84600002
2021/1/1 22:06,28.21,28.403999,6450.48,227.10001,0.87199998
2021/1/1 23:06,28.48,28.219999,6602.77,228.3,0.847
2021/1/2 0:06,28.25,28.357,6620.5601,228.60001,0.84899998
2021/1/2 1:06,28.2104,28.073,6627.5,228.2,0.838
2021/1/2 2:06,28.3799,28.461,6448.52,228,0.87599999
2021/1/2 3:06,28.71,28.455999,6605.1602,228.7,0.85500002
2021/1/2 4:06,28.48,28.377001,6265.8501,229.7,0.90399998
2021/1/2 5:06,28.5297,28.655001,6916.6899,228.8,0.81999999
2021/1/2 6:06,28.8101,28.604,6766.1299,228.89999,0.838
2021/1/2 7:06,25.4399,28.629,6624.4702,229,0.85900003
2021/1/2 8:06,17.67,10.542,2309.8301,219.7,0.88800001
2021/1/2 9:06,18.6801,18.207001,4323.75,221.5,0.81900001
2021/1/2 10:06,21.69,18.672001,4211.7998,219.89999,0.86199999
2021/1/2 11:06,27.27,26.896,6417.0698,223.8,0.81999999
2021/1/2 12:06,27.0903,26.964001,6433.77,226.39999,0.82499999
2021/1/2 13:06,26.92,26.523001,6152.6099,225.5,0.84899998
2021/1/2 14:06,26.9697,26.938999,6169.96,224.10001,0.85699999
2021/1/2 15:06,26.8701,26.719,6259.1299,225.8,0.83999997
2021/1/2 16:06,23.98,27.625,6482.5801,226.10001,0.83899999
2021/1/2 17:06,23.23,25.252001,5960.1802,226.60001,0.83499998
2021/1/2 18:06,26.75,20.716999,4571.9302,223.60001,0.89099997
2021/1/2 19:06,27.7998,28.466999,6753.77,228.7,0.83899999
2021/1/2 20:06,28.6601,26.783001,6319.2202,227,0.83600003
2021/1/2 21:06,28.75,28.129,6529.0098,226.8,0.85100001
2021/1/2 22:06,28.7403,29.031,6803.23,227.5,0.84399998
2021/1/2 23:06,28.9296,28.622,6539.6401,226,0.86400002
2021/1/3 0:06,28.7203,29.716,6722.7402,228,0.87699997
2021/1/3 1:06,28.8999,29.312,6885.6699,226.8,0.83999997
2021/1/3 2:06,29.1699,29.518999,6727.73,226.10001,0.866
2021/1/3 3:06,28.79,28.854,6419.4502,226.60001,0.88999999
2021/1/3 4:06,28.9102,28.773001,6724.7002,228.5,0.84799999
2021/1/3 5:06,29.2099,29.424999,6676.9702,229.2,0.87699997
2021/1/3 6:06,29.0699,29.191999,6680.6602,229.5,0.87
2021/1/3 7:06,29.0903,28.896999,6825.5801,230.10001,0.84200001
2021/1/3 8:06,29.4497,30.162001,7100.4502,229.8,0.84399998
2021/1/3 9:06,30.02,28.641001,6612.5298,225.89999,0.85399997
2021/1/3 10:06,30.3301,30.313999,6958.7798,226.8,0.861
2021/1/3 11:06,24.1099,27.898001,6255.4399,225.2,0.87900001
2021/1/3 12:07,27.4101,27.164,5805.9302,225.60001,0.926
2021/1/3 13:07,27.0401,26.993,5853.6499,225.10001,0.91100001
2021/1/3 14:07,27.1098,27.169001,5871.4399,225.5,0.91500002
2021/1/3 15:07,28.8203,28.091,6098.1499,227.2,0.91500002
2021/1/3 16:07,28.7998,28.583,6298.1802,227.60001,0.90100002
2021/1/3 17:07,28.6802,29.083,6313.5801,228,0.917
2021/1/3 18:07,28.9097,28.503,6495.6001,227,0.86799997
2021/1/3 19:07,24.3901,28.485001,6514.2598,226.8,0.86400002
2021/1/3 20:07,28.4502,28.798,6476.9399,225.8,0.87800002
2021/1/3 21:07,27.5,28.319,6547.02,228.60001,0.85900003
2021/1/3 22:07,19.8399,26.794001,6134.6001,226.8,0.86299998
2021/1/3 23:07,20.6401,20.556999,4590.5898,223.2,0.87900001
2021/1/4 0:07,23.8999,19.681999,4385.5801,223.60001,0.88200003
2021/1/4 1:07,26.1597,25.757,5632.5898,225.60001,0.90399998
2021/1/4 2:07,26.02,26.280001,5909.4102,226.39999,0.87900001
2021/1/4 3:07,27.25,26.052,6008.3398,227.60001,0.85900003
2021/1/4 4:07,28.4502,28.427,6527.71,228.7,0.86500001
2021/1/4 5:07,28.2002,28.159,6540.0698,229.2,0.85600001
2021/1/4 6:07,28.3799,28.577999,6620.1299,228,0.85500002
2021/1/4 7:07,29.0097,28.888,6881.3301,228.10001,0.82999998
2021/1/4 8:07,28.7202,28.597,6662.8701,229.2,0.85299999
2021/1/4 9:07,28.8101,28.978001,6681.3101,229.5,0.86299998
2021/1/4 10:07,27.73,28.566,6625.5498,230.39999,0.85900003
2021/1/4 11:07,28.5097,29.281,6568.71,225.7,0.88
2021/1/4 12:07,28.5103,28.625999,6678.27,225.89999,0.84399998
2021/1/4 13:07,26.9297,28.712999,6577.3901,224.8,0.85799998
2021/1/4 14:07,25.6001,18.886999,4046.9199,220,0.91000003
2021/1/4 15:07,27.3003,27.974001,6423.79,226.39999,0.86000001
2021/1/4 16:07,25.81,27.115,5951.5,225.2,0.89999998
2021/1/4 17:07,26.9898,28.115999,6537.6899,225.39999,0.84600002
